"","V1","ta2","V1.1","ta2.1","V1.2","ta2.2"
"서울","서울","1015","서울","1077","서비스","984"
"부동산","부동산","960","미국","954","미국","911"
"미국","미국","957","서비스","885","국내","726"
"서비스","서비스","897","국내","811","배터리","671"
"중국","중국","670","부동산","789","이상","668"
"국내","국내","665","대비","743","대비","646"
"대비","대비","654","관계자는","699","관계자는","637"
"아파트","아파트","561","이상","669","서울","617"
"이상","이상","526","아파트","599","오늘의","595"
"관계자는","관계자는","518","중국","592","최대","593"
"정부가","정부가","501","코로나","563","있다는","535"
"있다는","있다는","496","있다는","549","다른","530"
"뉴스","뉴스","486","시장","534","코로나","488"
"오늘의","오늘의","479","최대","518","함께","464"
"주택","주택","472","다른","493","무료","452"
"시장","시장","468","정부가","471","오늘","452"
"최대","최대","464","모두","466","글로벌","420"
"함께","함께","448","오늘의","441","중국","416"
"다른","다른","431","함께","419","높은","403"
"페이스북","페이스북","422","오늘","418","기존","401"
"트럼프","트럼프","414","높은","378","주요","399"
"글로벌","글로벌","395","세계","377","모두","389"
"코로나","코로나","379","신규","375","시장","386"
"오늘","오늘","377","신종","366","고화질","374"
"mk","mk","368","많은","356","페이스북","374"
"모두","모두","366","뉴스","352","GO","371"
"신종","신종","356","한국","349","온에어","371"
"높은","높은","351","등의","346","화제뉴스","371"
"박원순","박원순","348","무료","344","온라인뉴스팀","370"
"정부는","정부는","335","주택","343","부동산","364"
"정부","정부","307","보는","339","추석","361"
"세계","세계","305","주요","331","신종","356"
"코로나바이러스","코로나바이러스","304","글로벌","325","mk","335"
"기존","기존","294","코로나바이러스","322","아파트","331"
"GO","GO","293","정부는","315","투자","324"
"보는","보는","291","기존","313","코로나바이러스","322"
"오른","오른","280","정부","310","온라인","310"
"무료","무료","279","경제","308","기업","284"
"고화질","고화질","269","고화질","304","등의","283"
"공정하고","공정하고","269","GO","302","내년","281"
"신규","신규","269","온에어","302","운세","279"
"사진","사진","265","트럼프","301","세계","275"
"신뢰받는","신뢰받는","259","온라인뉴스팀","300","전기차","275"
"메인에서","메인에서","258","사진","293","트럼프","267"
"온에어","온에어","258","때문이다","289","따른","261"
